Titulo,Link,Publicación,Tiempo Restante,Tipo de trabajo,Ubicación,Presupuesto,Experiencia Requerida,Cliente,Pais,Contenido,Mensaje
"Desarrollador backend
                ",http://www.nubelo.com/proyecto/desarrollador-backend-27,"1 día y 22 horas
             ","28 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Yuvod ,España                ,"
              Oferta de trabajo para desarrollador backend, con experiencia en Node JS y conocimientos de Meteor y AWS, y que sea capaz de llevar a cabo, y de forma autónoma bajo las directrices del CTO, el desarrollo del backend de una plataforma de video bajo demanda radicada en España. Duración del proyecto: Larga duraciónRoles a cubrir por el freelance: DesarrolladorCompatibilidad con: Windows, Mac OS, Linux / UnixEstado del proyecto: Tengo las especificacionesLenguajes de programación requeridos: Node JS y AWSPreferencia de frameworks: MeteorIntegración con API: Social Media, Payment Processor            ",""
"Diseñador gráfico - dibujante
                ",http://www.nubelo.com/proyecto/disenador-grafico-dibujante-2,"2 días
                       ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",PASTO ,Argentina                ,"
              Estamos realizando el logo de nuestra pequeña productora Queremos algo en lo posible dibujado y vectorizado, que tenga un estilo minimalista pero hecho como si fuera con tinta china o acuarelas. Si es hecho a mano o no, no es tan relevante lo que si es relevante es que parezca hecho a mano.La productora se llama Pasto.            ",""
"Animación 2D en  After Effects 
                ",http://www.nubelo.com/proyecto/animacion-2d-en-after-effects,"2 días y 1 hora
              ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Norte Production ,Colombia                ,"
              Se necesita animar un video demostrativo en 2D?Duración: 1min 20segse deja una referencia de como queremos la animaciónhttps://www.youtube.com/watch?v=IM2hzn8HzRE el tiempo de entrega es de 15 dias max...             ",""
"INSTALACION DE THEME WORDPRESS Y ENSEÑAR
                ",http://www.nubelo.com/proyecto/instalacion-de-theme-wordpress-y-ensenar,"2 días y 1 hora
              ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Senior (6-10 años)
                     ",Manuel ,Colombia                ,"
              INSTALACION Y ENSEÑAR A INSTALAR Y USAR THEME DE WORDPRESCON EL DEMO, QUE QUEDE IGUAL AL DEMO            ",""
"programador php
                ",http://www.nubelo.com/proyecto/programador-php-914,"2 días y 2 horas
             ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ", [cliente] ,España                ,"
              Necesito un programador en php que me genere un documento word con un formato en concreto. Actualmente mi código php genera una documento word y lo que quiero es un documento con un formato específico y concreto . Los datos se leer de base de datos             ",""
"Creacion de banner 
                ",http://www.nubelo.com/proyecto/creacion-de-banner--3,"2 días y 5 horas
             ","27 días
                      ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",AutocasionHoy S.A ,España                ,"
              Nuestra empresa necesita realizar displays para colgarlos en la web. Cada cliente nuestro que contrata este tipo de publicidad saldra en los diferentes soportes con su correspondiente medida: Móvil: 290x52 ó 290x150Tablet: 700x124Desktop hasta 1024: 630x112Desktop hasta 1280: 850x150El volumen de trabajo es de 10 clientes al mes.             ",""
"diseño web
                ",http://www.nubelo.com/proyecto/diseno-web-496,"2 días y 5 horas
             ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",FactoryTel ,España                ,"
              para trabajos puntuales en diseño web como freelance, normalmente con gestores de contenidos (cms) con conocimientos en diseño grafico e inicitiva propia al realizar proyectos, conocimientos programacion php            ",""
"PREPARACIÓN DE TEMAS DE OPOSICIONES PARA INGENIEROS
                ",http://www.nubelo.com/proyecto/preparacion-de-temas-de-oposiciones-para-ingenieros,"2 días y 6 horas
             ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",CONSULTORIA PONIENTE CUATRO SLU ,España                ,"
              Somos una academia de oposiciones de ingeniero industrial, ingeniero técnico industrial y necesitamos actualizar un temario para lo cual se necesita formación de ingeniero, arquitecto, economista o similar.Se trata de actualizar unos temas que tenemos preparados pero desde hace 10 años.Se adjunta los temas. Se enviaría el tema antiguo con datos obsoletos y habría que buscar en Internet los datos actuales citando las fuentes..            ",""
"Editar Template PowerPoint
                ",http://www.nubelo.com/proyecto/editar-template-powerpoint,"2 días y 8 horas
             ","1 mes y 12 días
              ","proyecto freelance
           ","en cualquier parte del mundo
 ","10,00 €
                      ","Junior (
                               ",Daniel ,España                ,"
              Se dispone de la siguiente plantilla en PowerPoint:https://graphicriver.net/item/marketing-pitch-deck-powerpoint-template/16564260Hay que editar el contenido de 24 paginas solamente ya que el diseño que se busca solo tendra 24 hojas.Disponemos de un diseño antiguo el cual hay que rediseñar utilizando distintas hojas de este template de powerpoint.Se facilitaran, textos, imagenes, logo ...Se busca rapidez y profesionalidad en la entrega.Se firmara contrato de confidencialidad.Se Solicitara factura para liberar el pago.            ",""
"Redactor: Social Media, Blogger 
                ",http://www.nubelo.com/proyecto/redactor-social-media-blogger-1,"2 días y 8 horas
             ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",TempEmp Limited ,España                ,"
              Se busca una persona áltamente motivada, apasionada y creativa con experiencia en el manejo de redes sociales. La pasión proviene de conectar con los clientes diariamente, con la última finalidad de transformar fans en clientes. El redactor de redes sociales trabajará con nuestro socio de redes sociales y el foco principal serán los asuntos relacionados con el contenido.Las principales tareas:Crear y publicar contenido original y de alta calidadDirigir campañas de marketing oportunasDirigir el BlogIncrementar el número de fans y el tráfico de la página webMonitorear, escuchar y responder a los usuarios de manera amigable y social            ",""
"Agencia Busca Redactores Profesionales.
                ",http://www.nubelo.com/proyecto/agencia-busca-redactores-profesionales,"2 días y 14 horas
            ","9 horas
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","600,00 €
                     ","Intermedio (3-5 años)
                  ",DesmarktAds ,United Kingdom                ,"
              Estimados redactores freelance, somos una empresa británica dedicada al mundo de la publicidad y el mercadeo digital, nos dedicamos a catapultar los negocios de nuestros clientes al mundo digital atraves de la creación de planes y estrategias de alto impacto.En la actualidad estamos necesitando la colaboración de  redactores autónomos (freelance), para que se integren a nuestro equipo de trabajo, dejamos claro que no estamos buscando profesionales que simplemente sepan escribir, buscamos profesionales que sepan crear contenido útil y atractivo para los blogs y sitios web de nuestros clientes.En este caso estamos hablando de clientes con sede en España, México, Argentina y Estados Unidos por lo cual se apreciará a los profesionales con residencia en los ya mencionados países.  Habilidades personales necesarias para este proyecto:Creatividad.Comunicación.Profesionalismo.Responsabilidad.Disponibilidad de tiempo.Habilidades profesionales necesarias para este proyecto:Excelente ortografía y gramática española.Capacidad para escribir en diferentes tonos o estilos de escritura.Experiencia en redacción 2.0 (Blogs, Redes Sociales, Revistas Online, Sitios Web).Conocimientos básicos en diseño o edición de imágenes.Sobre las propuestas.Cada una de sus propuestas deberá de tener adjuntado su currículo vitae y una muestra de su mejor artículo.Serán desestimadas de inmediato todas las propuestas que no tengan los ya mencionados documentos adjuntados.            ",""
"Logotipo inicialmente. Identidad corporativa completa despues (especialmente maquetacion de flyers y publicidad impresa)
                ",http://www.nubelo.com/proyecto/logotipo-inicialmente-identidad-corporativa-completa-despues-especialmente-maquetacion-de-flyers-y-publicidad-impresa,"2 días y 14 horas
            ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Sup**** ,España                ,"
              Necesitamos diseñador que se encargará de la creación de elementos gráficos variados para una academia de estimulación infantil que abriremos próximamente. De forma inmediata necesitamos un logotipo vistoso y original para la academia que se llamará SUPERNENE.Pero también vamos a necesitar que pronto nos diseñen elementos gráficos para la página online (aún no sabemos cuales ya que también acabamos de solicitar presupuesto para el diseño de la web y nos irán indicando)El diseñador se encargará periódicamente de la maquetación de la cartelería y flyers publicitarios que fueran siendo necesarios así como del diseño del merchandising (camisetas, pegatinas …).Los diseños tendrán que ir acorde al público al que nos dirigimos (bebés y niños entre 3 y 12 años) y ser simples y coloridos.A modo de propuestas para el diseño del branding nos gustan los siguientes temas pero estamos abiertos a otras sugerencias y propuestas del diseñador:El espacio (niños vestidos de astronautas por ejemplo….)Niños con aspecto de grandes genios (Steve Jobs, Leonardo Da Vinci,...)Niños uniformados de profesiones punteras (niños vestidos de científicos, doctores,...)También adjunto ejemplos de diseños que nos han gustado para que se haga una idea mejor de lo que nos puede gustar y se inspire para crear los bocetos y las propuestas que envíe.En definitiva necesitamos el logotipo para “Supernene” y bocetos y propuestas para el diseño de branding. (Si el logotipo tiene varios colores deberá verse también bien a un solo color).Cómo necesitaremos con bastante frecuencia que nos diseñen cosas necesitamos saber precios lo más exactos posibles para cada uno de estos elementos:maquetación de cartelería y flyers (es lo que más a menudo vamos a necesitar…)elementos gráficos de la web con un diseño uniforme y acorde al branding de marca (banners,...)merchandising (diseños para camisetas, pegatinas,...)y si fuera posible ver portafolio con otros trabajos realizados anteriormente.            ",""
"TRANSCRIPTORA
                ",http://www.nubelo.com/proyecto/transcriptora-1,"2 días y 14 horas
            ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Nury ,Colombia                ,"
              PERSONA EFICAZ Y PUNTUAL PARA LA ENTREGA DE TRABAJOS DE TRANSCRIPCIÓN DE CONFERENCIAS, AUDIOS, TALLERES Y DEMÁS QUE SE REQUIERAN.MANEJO DEL IDIOMA ESPAÑOL DE MANERA CLARA Y BUENA ORTOGRAFÍA.COMPLETAMENTE DEDICADA A LO QUE SE SOLICITE LABORALMENTE Y CON ALTO SENTIDO DE RESPONSABILIDAD.             ",""
"Desarrollo y mantenimiento de backend en C++
                ",http://www.nubelo.com/proyecto/desarrollo-y-mantenimiento-de-backend-en-c,"2 días y 14 horas
            ","27 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","sin especificar
              ","Intermedio (3-5 años)
                  ",Damian ,Argentina                ,"
              Estamos buscando desarrollador C/C++ para el backend de nuestro producto.Preferentemente en Buenos Aires, Argentina.Somos una startup que posee una plataforma de video monitoreo escalable que permite instalar muy fácilmente una amplia gama de cámaras IP del mercado, grabar video en la nube y a su vez ver las grabaciones de las cámaras desde nuestro sitio web o cualquier dispositivo móvil.Se requiere experiencia en las siguientes áreas:Al menos 3 años de experiencia en C++STL y Boost LibrariesEntornos Linux (CentOS / Redhat / Ubuntu)Bases de datos Oracle / MySQLMulti thread programmingConocimientos de networking low levelTambién se valora experiencia en Amazon Web Services, message queue's (ZeroMQ, ActiveMQ, etc.), escalabilidad y protocolos de streaming de audio / video (ejemplo RTSP, RTMP, RTP, RTCP, SIP) Duración del proyecto: Larga duraciónRoles a cubrir por el freelance: DesarrolladorCompatibilidad con: Linux / UnixEstado del proyecto: Tengo las especificacionesLenguajes de programación requeridos: C++            ",""
"Crear una RED SOCIAL  /  Create a Social Network
                ",http://www.nubelo.com/proyecto/crear-una-red-social-create-a-social-network,"2 días y 14 horas
            ","27 días
                      ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Junior (
                               ",manuel ,España                ,"
              Crear una red social con las funciones similares a las típicas R.S. ya existentes y con un enfoque laboral principalmente pero no exclusivo.Necesaria experiencia  similar en crear redes sociales. Muchas gracias. Saludos cordiales.            ",""
"programador desarrollo web
                ",http://www.nubelo.com/proyecto/programador-desarrollo-web-2,"2 días y 14 horas
            ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Daniel ,Argentina                ,"
              mi nombre es daniel y soy de buenos aires, capital tengo una idea para un sitio web del tipo c2c y queria saber aproximadamente cuanto saldria el desarrollo seria una pagina web donde cada persona ofrezca un producto o servicio y los demas van ofertando sobre el mismo, el vendedor se quedaria con la mejor oferta la idea general seria esa seria con categorias y autoadministrable desde ya muchas gracias saludos            ",""
"SEO Freelance
                ",http://www.nubelo.com/proyecto/seo-freelance-6,"2 días y 14 horas
            ","27 días
                      ","proyecto freelance
           ","Colombia, Bogotá
             ","500,00 €
                     ","Junior (
                               ", BISONTE SAS ,Colombia                ,"
               Agencia Digital, buscamos SEO freelance para trabajar para proyecto de educación. Con conocimientos en implementación de SEO On, Off page y LinkBuilding. Manejo de herramientas como Google Analytics/Search Console, implementación de SEO inicial y mantenimiento mensual.              ",""
"Integración API de Payulatam con Woocommerce
                ",http://www.nubelo.com/proyecto/integracion-api-de-payulatam-con-woocommerce,"2 días y 14 horas
            ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",Paul ,Colombia                ,"
              Se requiere integrar al modulo Woocommerce de Wordpress el sistema de pagos de Payu Latam utilizando la API mas no la pasarela web. PayuLatam tiene tres formas de integrar los pagos, a través de su pasarela web (web checkout), a través de un SDK y a través de una API. Se requiere que la integración sea a través del API pues la idea es que todo el proceso de pago se realice sin salir de nuestra página web pudiendo así personalizar los formularios y todo el proceso.              ",""
"Banner Para casting Escorts Alto nivel
                ",http://www.nubelo.com/proyecto/banner-para-casting-escorts-alto-nivel,"2 días y 18 horas
            ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Intermedio (3-5 años)
                  ",AmadeusEscort ,España                ,"
              Estamos en fase de desarrollo para la creación de una agencia de escorts de alto nivel, para ello, en este proyecto necesitamos impulsar nuestra agencia en la captación y selección de escorts a través de un casting.Para ello,necesitamos un diseño de un banner profesional para dicho anuncio. Este banner tiene que trasmitir profesionalidad y elegancia, acompañado de alguna imagen sobre la temática en cuestión, y una fuente acorde a la relación, y con un contenido que se basa en la finalidad en cuestión, contacto directo y correo electrónico.Nos gustaría al menos 2 versiones para poder opinar. Si nos gusta el trabajo, contaremos contigo para futuras ocasiones, puesto que tenemos muchos proyectos en pie.Adjuntar a ser posible portafolio de diseños.             ",""
"Programador python Ssr / Sr 
                ",http://www.nubelo.com/proyecto/programador-python-ssr-sr,"2 días y 19 horas
            ","27 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","sin especificar
              ","Intermedio (3-5 años)
                  ",VONPIX SRL ,Argentina                ,"
                estamos buscando   programador  Python Ssr / Sr. Una posición es freelance  Estamos trabajando actualmente en multiples proyectos de diversas industrias.Esperamos postulaciones de excelentes programadores con ganas de aprender y trabajar en un equipo de jóvenes profesionales.Ofrecemos muy buenas condiciones de trabajo.              ",""
"Integrar paypal a mi website 
                ",http://www.nubelo.com/proyecto/integrar-paypal-a-mi-website,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Tomas Fornesa ,España                ,"
              Integrar al sitio web un 4 o 5 botones de pago de paypalEl sitio es creado en WordpressEspecificar en la propuesta el tiempo de desarrollo                                                                                   Duración del proyecto: Corta duraciónRoles a cubrir por el freelance: DesarrolladorEstado del proyecto: No aplicaLenguajes de programación requeridos: PHP HTMLIntegración con API: Payment Processor            ",""
"crear la web de mi empresa
                ",http://www.nubelo.com/proyecto/crear-la-web-de-mi-empresa-70,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Investmarks ,Chile                ,"
              Es una compañia de inversiones del mercado de IT, preciso una web institucional con el lema de la misma, una descripción de quienes somos, que hacemos y como lo hacemos. Los diferentes servicios que se ofrecen y luego como nos pueden contactar. Todo esto a nivel de menú desplegable, con algunas fotos, pero nada dinámico por el momento.             ",""
"EDICION DE LIBRO, DISEÑO
                ",http://www.nubelo.com/proyecto/edicion-de-libro-diseno,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","Mexico, Distrito Federal
     ","sin especificar
              ","Intermedio (3-5 años)
                  ",ALIANZA ,Mexico                ,"
              PROPUESTAS DE DISEÑO PARA  INTERIOR  DE LIBRO DE  750 PAG  APROX , FORMATO  17 X 23 CMS CONTENIDO EDICION, Y PORTADA  , EXPERIENCIA COMPROBADA EN EDICION DE LIBROS              ",""
"Community Manager Freelance
                ",http://www.nubelo.com/proyecto/community-manager-freelance-24,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","Argentina, San Justo
         ","sin especificar
              ","Junior (
                               ",Maind Comunicacion ,Argentina                ,"
                nos encontramos en la búsqueda de un Community Manager con un perfil analítico, con autonomía y pasión por las redes sociales.El postulante deberá contar con al menos 2 años de experiencia laboral en agencias digitales en roles similares.Deberá tener experiencia en el análisis, implementación y seguimiento de campañas en Google Adwords y otras plataformas autogestionables.Tareas a realizar:Gestionar y actualizar diariamente las diferentes redes sociales de acuerdo a la estrategia de marca y dar soporte para la ejecución de la misma Facebook, Twitter, Instagram, Youtube, Linkedin, entre otrosModerar comentariosAnalizar y armar los reportes de performanceInvestigar e identificar tendenciasTrabajar en conjunto para llevar adelante los pedidos del clientemanejo de photoshop y herramientas de diseñoMonitorear las conversaciones sobre la marca, la competencia y otros temas de interés.             ",""
"Captar expositores
                ",http://www.nubelo.com/proyecto/captar-expositores,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","España, Barcelona
            ","sin especificar
              ","Junior (
                               ",Sinergia ,España                ,"
              Necesitamos comercial con altas capacidades para captar expositores para una feria en Barcelona. Su trabajo consistirá en la captación y negociación para conseguir una mayor captación de una feria con historia pero con un nuevo enfoque.            ",""
"Diseñar un logo
                ",http://www.nubelo.com/proyecto/disenar-un-logo-14,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","en cualquier parte del mundo
 ","sin especificar
              ","Junior (
                               ",Blended Servicio de Bartenders  ,Venezuela                ,"
              Necesito diseñar un logo personal para bartender, que sea elegante y que tenga dentro de sus colores el dorado. El nombre que este fuera del logo. Puede contar con elementos de coctelería con utensilios o cristalería            ",""
"PROFESORES 
                ",http://www.nubelo.com/proyecto/profesores--11,"2 días y 20 horas
            ","1 mes y 12 días
              ","proyecto freelance
           ","España, Madrid
               ","sin especificar
              ","Junior (
                               ",Academia Clave de apoyo ,España                ,"
              ¿Eres profesor y estás buscando un nuevo proyecto?En Academia  estamos buscando profesores freelance, cualificados y con experiencia, ilusionados por empezar una nueva andadura profesional en un espacio multidisciplinar.              ",""
"Realizar telemarketing para empresas de educación en ECUADOR
                ",http://www.nubelo.com/proyecto/realizar-telemarketing-para-empresas-de-educacion-en-ecuador,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","Ecuador, Quito
               ","sin especificar
              ","Intermedio (3-5 años)
                  ",Carlos  ,Ecuador                ,"
              PREFERIBLEMENTE SER DE ECUADOR (cualquier ciudad). Necesito una persona con experiencia en ventas y telemarketing para gestión de base de datos de interesados en diferentes empresas de educación en varios nichos. La persona recibirá todas las bases de datos y capacitación en un sistema tipo CRM para gestión. Debe tener disponibilidad para llamar, cumplir las metas de contactos diarios y de ventas.             ",""
"Crear facebook y identidad
                ",http://www.nubelo.com/proyecto/crear-facebook-y-identidad,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","303,03 €
                     ","Junior (
                               ",on line ,Argentina                ,"
              Estamos en búsqueda de una persona Femenina para community manager para administrar y contestar todos lo PostEl proyecto es muy interesante, relaciona a Mujeres Es algo muy intimo de toda mujer y tiene que ser tratado de la misma formahttp://culturacolectiva.com/en-rusia-abren-escuela-para-practicar-sexo-oral/             ",""
"Diseñador para Facebook 
                ",http://www.nubelo.com/proyecto/disenador-para-facebook,"2 días y 20 horas
            ","27 días
                      ","proyecto freelance
           ","Argentina, Buenos Aires
      ","303,03 €
                     ","Intermedio (3-5 años)
                  ",on line ,Argentina                ,"
              Estamos en la búsqueda de una imagen corporativa para un Facebook   Solo para mujeres y hay que cuidar la privacidad y la imagen del FacebookBuscamos rapidez y seriedad             ",""
"Traduccion español a italiano
                ",http://www.nubelo.com/proyecto/traduccion-espanol-a-italiano,"2 días y 20 horas
            ","4 días
                       ","proyecto freelance
           ","en cualquier parte del mundo
 ","800,00 €
                     ","Intermedio (3-5 años)
                  ",cyril ,España                ,"
              Traducir ficheros de unos 30,000 palabras del español al italiano, incluye bastante repetición de las mismas palabras. Son palabras cortas y simples. Se trata de unos ficheros tipo PO o bien HTML.Se valora la posibilidad de extender la traducción al portuguès            ",""
